document_id,english author,certain authorship,english work title,tlg_genre,genre_first,genre_second,genre_third,group,greek work title,latin work title,geography,ethnicity,year,gender,komplet_fragment,id_nummer,sort_id,kommentar,Greek,Latin,tlg_author_id,tlg_work_id,skal_fjernes,has_tlg_id,has_comment_in_name,graph
first1k_tlg1719.tlg001.1st1K-grc1,Theodosius of Bithynia,TRUE,Spherics,Mathematica,Prose,Treaty,Mathematical astronomy,,Τὰ σφαιρικά,De sphaericis,"Bithynia, Turkey",,95 BC,M,,1019.0,1019,,TRUE,FALSE,tlg1719,tlg001,False,TRUE,FALSE,
perseus_tlg0030.tlg003.perseus-grc1,Hyperides,TRUE,In Defence of Euxenippus,Oratio,Prose,Speech,,,Ὑπὲρ Εὐξενίππου ἐισαγγελίας ἀπολογία πρὸς Πολύευκτον,Pro Euxenippo,Athens,,335 BC,M,K,102.0,102,,TRUE,FALSE,tlg0030,tlg003,False,TRUE,FALSE,
first1k_tlg0627.tlg052.1st1K-grc1,Hippocrates,FALSE,Crises,,Prose,Treaty,Medicine,,Περὶ κρίσιων,De judicationibus,Greece,,390 BC,M,K,1020.0,1020,,TRUE,FALSE,tlg0627,tlg052,False,TRUE,FALSE,
first1k_tlg1551.tlg002.opp-grc1,Sibyline Oracles,FALSE,Fragmenta,,,,,,,Oracula Sibyllina,,,,M,,1021.0,1021,,TRUE,FALSE,tlg1551,tlg002,True,TRUE,FALSE,
first1k_tlg0317.tlg001.1st1K-grc1,Acts of John,FALSE,Acts of John,"Acta, Apocrypha",Prose,Narrative,Theology,,"Πράξεις τοῦ ἁγίου ἀποστόλου καὶ εὐαγγελιστοῦ Ἰωάννου
τοῦ θεολόγου",Acta Ioannis,,,150 AD,M,K,1022.0,1022,,TRUE,FALSE,tlg0317,tlg001,False,TRUE,FALSE,
first1k_tlg4072.tlg003.1st1K-grc1,Eutocius of Ascalon,TRUE,Commentary on The Two Books on Equilibrium by Archimedes,"Commentarius, Mathematica",Prose,Catena / Commentary,Mathematics ,,,Commentarius in libros de planorum aequilibriis,Athens,,510 AD,M,K,1023.0,1023,,TRUE,FALSE,tlg4072,tlg003,False,TRUE,FALSE,
first1k_tlg0527.tlg020.1st1K-grc1,Judith,FALSE,Judith,"Apocrypha, Narratio Ficta, Religiosa",Prose,Narrative,Theology,Jewish Novels,Ἰουδίθ,Judith,Israel,Jewish,100 BC,M,K,1024.0,1024,,TRUE,FALSE,tlg0527,tlg020,False,TRUE,FALSE,
first1k_tlg1131.tlg001.1st1K-grc1,Anonymous,FALSE,Ad Avircium Marcellum contra Cataphrygas,Theologica,Prose,Polemic,"Theology, contra",,,Ad Avircium Marcellum contra Cataphrygas,,,220 AD,M,,1025.0,1025,,TRUE,FALSE,tlg1131,tlg001,False,TRUE,FALSE,
first1k_tlg4170.tlg001a.1st1K-grc1,Various (Vitae),FALSE,Vita Ambrosiana (TLG TLG = 4170.001),"Biographa, Grammatica",Prose,Biography ,,,Βίος Πινδάρου,Vita Ambrosiana,,,,M,,1026.0,1026,,TRUE,FALSE,tlg4170,tlg001,False,TRUE,TRUE,
first1k_tlg2583.tlg001.1st1K-grc1,Manetho,FALSE,Apotelesmatica,"Astrologica, Hexametrica",Prose,Astronomy,,,Ἀποτελεσματικῶν ,Apotelesmatica,,,150 AD,M,K,1027.0,1027,,TRUE,FALSE,tlg2583,tlg001,False,TRUE,FALSE,
first1k_tlg0358.tlg004.opp-grc1,Nicomachus,FALSE,Excerpts,Musica,Prose,Treaty,Music,,,Excerpta,"Gerasa, Syria (?)",,120 AD,M,,1028.0,1028,,TRUE,FALSE,tlg0358,tlg004,False,TRUE,FALSE,
first1k_tlg0018.tlg030.opp-grc1,Philo of Alexandria,TRUE,Flaccus,"Apologetica, Philosophica",Prose,Treaty,Philosophy / Theology ,Jewish Philosophy,Εἰς Φλάκκον,In Flaccum,Alexandria,Jewish,35 AD,M,,1029.0,1029,,TRUE,FALSE,tlg0018,tlg030,False,TRUE,FALSE,
perseus_tlg0007.tlg051.perseus-grc1,Plutarch,TRUE,Agis and Cleomenes,Biographa,Prose,Biography ,,Important Biographies,Ἆγῐς καὶ Κλεομένης,Agis et Cleomenes,"Delphi, Greece",Greek,100 AD,M,K,103.0,103,,TRUE,FALSE,tlg0007,tlg051,False,TRUE,FALSE,
first1k_tlg0527.tlg004.opp-grc2,Moses,FALSE,Numbers,"Historica, Religiosa",Prose,Narrative,Theology,LXX Historiographies,Ἀριθμοί,Numeri,Israel,Jewish,400 BC,M,K,1030.0,1030,,TRUE,FALSE,tlg0527,tlg004,False,TRUE,FALSE,
first1k_tlg0527.tlg015.1st1K-grc1,1 Chronicles ,FALSE,1 Chronicles,"Historica, Religiosa",Prose,Historiography,Theology,LXX Historiographies,Παραλειπομένων Αʹ,Paralipomenon i sive Chronicon i,Jerusalem,Jewish,350 BC,M,K,1031.0,1031,,TRUE,FALSE,tlg0527,tlg015,False,TRUE,FALSE,
first1k_tlg1271.tlg004.1st1K-grc1,Clement of Rome ,FALSE,Διαμαρτυρία περὶ τῶν τοῦ βιβλίου λαμβανόντων - Contestatio (TLG = 1271.004),Narratio Ficta,,,,,,,,,,M,,1032.0,1032,,TRUE,FALSE,tlg1271,tlg004,True,TRUE,TRUE,
first1k_tlg5022.tlg002.1st1K-grc1,Various (Scholia),FALSE,Scholia on Euclid's Data,Scholia,Prose,Catena / Commentary,Mathematics ,,,Scholia in Euclidis Data,,,,M,,1033.0,1033,,TRUE,FALSE,tlg5022,tlg002,False,TRUE,TRUE,
first1k_tlg0527.tlg035.1st1K-grc1,Solomon,FALSE,Psalms of Solomon,"Pseudepigrapha, Religiosa, Poema",Poetry,Psalms,Theology,LXX Poetry/Wisdom,Ψαλμοί Σαλωμώντος,Psalmi Solomonis,Israel,Jewish,100 BC,M,K,1034.0,1034,,TRUE,FALSE,tlg0527,tlg035,False,TRUE,FALSE,
first1k_tlg0527.tlg038.1st1K-grc1,Micah,FALSE,Micah,"Prophetia, Religiosa",Prose,Oracle,Theology ,LXX Propheteia,Μιχαίας,Michaeas,Jerusalem,Jewish,700 BC,M,K,1035.0,1035,,TRUE,FALSE,tlg0527,tlg038,False,TRUE,FALSE,
first1k_tlg2200.tlg00426.opp-grc1,Libanius,TRUE,To Icarius,Oratio,Prose,Speech,,,Πρὸς Ἰκάριον,Oratio 26,Antioch,,365 AD,M,K,1036.0,1036,,TRUE,FALSE,tlg2200,tlg00426,False,TRUE,FALSE,
first1k_tlg2200.tlg00427.opp-grc1,Libanius,TRUE,Against Icarius I,Oratio,Prose,Speech,,,Κατὰ Ίκαρίου Α,Oratio 27,Antioch,,365 AD,M,K,1037.0,1037,,TRUE,FALSE,tlg2200,tlg00427,False,TRUE,FALSE,
first1k_tlg2200.tlg00546.opp-grc1,Libanius,TRUE,Defence of the Disowned Son,Rhetorica,Prose,Speech,,,,Declamatio 46,Antioch,,365 AD,M,K,1038.0,1038,,TRUE,FALSE,tlg2200,tlg00546,False,TRUE,FALSE,
first1k_tlg0062.tlg022.1st1K-grc1,Lucian of Samosata,,Timon,,,,,,,,,,,M,,1039.0,1039,,TRUE,FALSE,tlg0062,tlg022,True,TRUE,FALSE,
perseus_tlg0007.tlg009.perseus-grc2,Plutarch,TRUE,Comparison of Solon and Publicola,Biographa,Prose,Biography ,Syncrisis,Important Biographies,Σόλωνος καὶ Ποπλικόλα σύγκρισις,Comparatio Solonis et Publicolae,"Delphi, Greece",Greek,100 AD,M,K,104.0,104,,TRUE,FALSE,tlg0007,tlg009,False,TRUE,FALSE,
first1k_tlg0627.tlg022.1st1K-grc1,Hippocrates,FALSE,Use of Liquids,Medica,Prose,Treaty,Medicine,,"Περὶ ὑγρῶν χρήσιος",De humidorum usu,Greece,,390 BC,M,K,1040.0,1040,,TRUE,FALSE,tlg0627,tlg022,False,TRUE,FALSE,
first1k_tlg1699.tlg008.1st1K-grc1,Teles of Megara,TRUE,On Freedom from Passion,Philosophica,Prose,Essay / Treaty,Philosophy ,,Περὶ ἀπαθείας,,,,235 BC,M,,1041.0,1041,,TRUE,FALSE,tlg1699,tlg008,False,TRUE,FALSE,
first1k_tlg0057.tlg035.1st1K-grc3,Galen,FALSE,Sexual Activity (ap. Oribasium),Medica,Prose,Treaty,Medicine,,"Περὶ ἀφροδιϲίων, ἐκ τῶν Γαληνοῦ",De venereis (ap. Oribasium),Rome,,180 AD,M,,1042.0,1042,not a duplicate,TRUE,FALSE,tlg0057,tlg035,False,TRUE,TRUE,
first1k_tlg1805.tlg005.1st1K-grc1,Anonymous,FALSE,Vita quinta (Life of Homer),Biographa,Prose,Biography ,,,Βίος Ὁμήρου,Vita quinta,,,,M,,1043.0,1043,,TRUE,FALSE,tlg1805,tlg005,False,TRUE,TRUE,
first1k_tlg2200.tlg00437.opp-grc1,Libanius,TRUE,To Polycles,Oratio,Prose,Speech,,,Πρὸς Πολυκλέα,Oratio 37,Antioch,,365 AD,M,K,1044.0,1044,,TRUE,FALSE,tlg2200,tlg00437,False,TRUE,FALSE,
first1k_tlg1486.tlg002.1st1K-grc1,Matron of Pitana,,Δει̑πνον Ἀττικόν,,,,,,,,,,,M,,1045.0,1045,,TRUE,FALSE,tlg1486,tlg002,True,TRUE,FALSE,
first1k_tlg4102.tlg041.opp-grc1,Various (Catena),FALSE,Commentary on the First Epistle of Peter,Catena,Prose,Catena / Commentary,Theology,,Πέτρου ἐπιστολὴ Α. Ὑπόθεσις ,Catena in Epistulam Petri I,,,450 AD,M,K,1046.0,1046,,TRUE,FALSE,tlg4102,tlg041,False,TRUE,TRUE,
first1k_tlg0057.tlg076.1st1K-grc1,Galen,TRUE,On the Composition of Drugs according to Places,Medica,Prose,Treaty,Medicine,,Περὶ συνθέσεως φαρμάκων τῶν κατὰ τόπους,De compositione medicamentorum secundum locos,Rome,,180 AD,M,,1047.0,1047,,TRUE,FALSE,tlg0057,tlg076,False,TRUE,FALSE,
first1k_tlg0627.tlg041.1st1K-grc1,Hippocrates,FALSE,Dentition,Medica,Prose,Treaty,Medicine,,Περὶ ὀδοντοφυΐης,De dentitione,Greece,,390 BC,M,K,1048.0,1048,,TRUE,FALSE,tlg0627,tlg041,False,TRUE,FALSE,
first1k_tlg0627.tlg024b.1st1K-grc1,Hippocrates,FALSE,Nature of the Child,Medica,Prose,Treaty,Medicine,,Περὶ φύσιος παιδίου,De natura pueri,Greece,,390 BC,M,K,1049.0,1049,,TRUE,FALSE,tlg0627,tlg024,False,TRUE,FALSE,
perseus_tlg2045.tlg001.perseus-grc1,Nonnos,TRUE,Dionysiaca,Epica,Poetry,Lyric,Epic poem,,Διονυσιακά,Dionysiaca,Egypt,,450 AD,M,K,105.0,105,,TRUE,FALSE,tlg2045,tlg001,False,TRUE,FALSE,
first1k_tlg0751.tlg034.1st1K-grc1,Hippocrates,FALSE,Seventh Month's Child,Medica,Prose,Treaty,Medicine,,Περὶ ἑπταµήνου,De septimestri partu,Greece,,390 BC,M,,1050.0,1050,,TRUE,FALSE,tlg0751,tlg034,False,TRUE,FALSE,
first1k_tlg0552.tlg008.1st1K-grc1,Archimedes,TRUE,On Floating Bodies,Mathematica,Prose,Treaty,Mathematics,,Περὶ τῶν ἐπιπλεόντων σωμάτων,De corporibus fluitantibus,Syracuse,,220 BC,M,K,1051.0,1051,,TRUE,FALSE,tlg0552,tlg008,False,TRUE,FALSE,
first1k_tlg2042.tlg071.1st1K-grc1,Origen,FALSE,Adnotationes in Jesu filium Nave fragmenta e catenis,Exegetica,Prose,Catena / Commentary,Theology ,,Ἐκλογαί εἰς Ἰησοῦν τὸν Ναυή ,Adnotationes in Jesu filium Nave fragmenta e catenis,"Caesarea, Israel",,240 AD,M,F,1052.0,1052,,TRUE,FALSE,tlg2042,tlg071,False,TRUE,FALSE,
first1k_tlg1264.tlg001.1st1K-grc1,Chrysippus,FALSE,Fragmenta Logica et Physica,"Naturalis Historia, Philosophica, Rhetorica",Prose,Treaty,Philosophy ,,,Fragmenta Logica et Physica,Athens,,220 BC,M,,1053.0,1053,,TRUE,FALSE,tlg1264,tlg001,False,TRUE,FALSE,
first1k_tlg2136.tlg001.opp-grc1,Bacchius Geron,FALSE,Introduction to the Art of Music,Musica,Prose,Treaty,Music,,Εἰσαγωγὴ τέχνης μουσικῆς,Isagoge artis musicae,,,350 AD,M,,1054.0,1054,,TRUE,FALSE,tlg2136,tlg001,False,TRUE,FALSE,
first1k_tlg2200.tlg00454.opp-grc1,Libanius,TRUE,"Against Eustathius, about his Honours",Oratio,Prose,Speech,,,Περὶ Εὐστάθιον περὶ τῶν τιμῶν,Oratio 54,Antioch,,365 AD,M,K,1055.0,1055,,TRUE,FALSE,tlg2200,tlg00454,False,TRUE,FALSE,
first1k_tlg1264.tlg003.1st1K-grc1,Chrysippus,FALSE,Fragmenta quae ad explicationem carminum Homericorum pertinent,Commentarius,Prose,Treaty,Philosophy ,,,Fragmenta quae ad explicationem carminum Homericorum pertinent,Athens,,215 BC,M,,1056.0,1056,,TRUE,FALSE,tlg1264,tlg003,False,TRUE,FALSE,
first1k_tlg2018.tlg002.1st1K-grc2,Eusebius,TRUE,Ecclesiastical History,"Ecclesiastica, Historica",Prose,Historiography,,,Ἐκκλησιαστικῆς ἱστορίας ,Historia ecclesiastica,"Caesarea, Israel",,320 AD,M,K,1057.0,1057,,TRUE,FALSE,tlg2018,tlg002,False,TRUE,FALSE,
first1k_tlg0057.tlg096.1st1K-grc1,Galen,TRUE,Dislocations not Seen by Hippocrates,Medica,Prose,Treaty,Medicine,,Περὶ τῶν οὐχ ἑωραμένων Ἱπποκράτει ἐκπτώσεων,De Humero iis Modis Prolapso quos Hippocrates non Vidit,Rome,,180 AD,M,,1058.0,1058,,TRUE,FALSE,tlg0057,tlg096,False,TRUE,FALSE,
first1k_tlg0620.tlg002.1st1K-grc1,Archytas of Tarentum,FALSE,Fragmenta,"Musica, Philosophica",Prose,Treaty,"Music, philosophy ",,,Fragmenta,Athens,,370 BC,M,F,1059.0,1059,,TRUE,FALSE,tlg0620,tlg002,False,TRUE,FALSE,
perseus_tlg0013.tlg014.perseus-grc2,Homer,FALSE,Homeric Hymns 14. To the Mother of the Gods,Hymnus,Poetry,Lyric,,,Εἰς Μητέρα Θεῶν   ,In matrem deorum,Greece,,600 BC,M,F,106.0,106,,TRUE,FALSE,tlg0013,tlg014,False,TRUE,FALSE,
first1k_tlg0062.tlg004.1st1K-grc1,Lucian of Samosata,,Hercules,,,,,,,,,,,M,,1060.0,1060,,TRUE,FALSE,tlg0062,tlg004,True,TRUE,FALSE,
first1k_tlg1247.tlg001.1st1K-grc1,Cebes ,FALSE,Tabula,Philosophica,Prose,Treaty,Philosophy ,,Πίναξ,Cebetis tabula,Thebes,,50 AD,M,K,1061.0,1061,,TRUE,FALSE,tlg1247,tlg001,False,TRUE,FALSE,
first1k_tlg9006.tlg011.opp-grc1,Libanius,,Orations - Libanius Opera (TLG = 004) (cf. entry no. 993-1042...!),,,,,,,,,,,M,,1062.0,1062,,TRUE,FALSE,tlg9006,tlg011,True,TRUE,TRUE,
first1k_tlg0627.tlg020.1st1K-grc1,Hippocrates,FALSE,Regimen in Health,Medica,Prose,Treaty,Medicine,,Περὶ διαίτης ὑγιεινῆς,De diaeta salubri,Greece,,390 BC,M,,1063.0,1063,,TRUE,FALSE,tlg0627,tlg020,False,TRUE,FALSE,
first1k_tlg0086.tlg003.1st1K-grc2,Aristotle,FALSE,Fragmenta Deperditae Partis Primae TLG har tre entries med Fragmenta = 0086.49-51,,Prose,,,,,,Athens,,330 BC,M,K,1064.0,1064,,TRUE,FALSE,tlg0086,tlg003,False,TRUE,FALSE,
first1k_tlg0062.tlg009.1st1K-grc1,Lucian of Samosata,,De Domo,,,,,,,,,,,M,,1065.0,1065,,TRUE,FALSE,tlg0062,tlg009,True,TRUE,FALSE,
first1k_tlg0057.tlg001.1st1K-grc2,Galen ,TRUE,Protrepticus or Exhortation to the Study of the Arts especially Medicine,Medica,Prose,Treaty,Medicine,,Προτρεπτικὸς ἐπ' ἰατρική,Adhortatio ad artes addiscendas,Rome,,180 AD,M,,1066.0,1066,,TRUE,FALSE,tlg0057,tlg001,True,TRUE,FALSE,
first1k_tlg2200.tlg00506.opp-grc1,Libanius,TRUE,Orestes,Rhetorica,Prose,Speech,,,Ὀρέστης,Declamatio 6,Antioch,,365 AD,M,K,1067.0,1067,,TRUE,FALSE,tlg2200,tlg00506,False,TRUE,FALSE,
first1k_tlg0018.tlg010.opp-grc1,Philo of Alexandria,TRUE,Concerning Noah's Work as a Planter,"Exegetica, Philosophica, Theologica",Prose,Treaty,Philosophy / Theology ,Jewish Philosophy,Περὶ φυτουργίας Νῶε,De plantatione,Alexandria,Jewish,35 AD,M,,1068.0,1068,,TRUE,FALSE,tlg0018,tlg010,False,TRUE,FALSE,
first1k_tlg0087.tlg006.1st1K-grc1,Aelius Herodianus (Herodian),TRUE,Attic Prosody,Grammatica,Prose,Treaty,"Grammar, etymology",,Περὶ Ἀττικῆς προσῳδίας,,Rome,,165 AD,M,K,1069.0,1069,,TRUE,FALSE,tlg0087,tlg006,False,TRUE,TRUE,
perseus_tlg0014.tlg020.perseus-grc2,Demosthenes,TRUE,Against Leptines,Oratio,Prose,Speech,,,Περὶ τῆς Ἀτελείας πρὸς Λεπτίνην,Adversus Leptinem,Athens,,340 BC,M,K,107.0,107,,TRUE,FALSE,tlg0014,tlg020,False,TRUE,FALSE,
first1k_tlg1799.tlg011.1st1K-grc1,Euclid,FALSE,Catoptrics,Mathematica,Prose,Treaty,Mathematics ,,Κατοπτρικός,Catoptrica (recensio Theonis?),Alexandria,,300 BC,M,K,1070.0,1070,,TRUE,FALSE,tlg1799,tlg011,False,TRUE,FALSE,
first1k_tlg2035.tlg132.1st1K-grc1,Athanasius of Alexandria,TRUE,Third Oration against the Arians,"Oratio, Theologica",Prose,Speech,,,Kατὰ Ἀρειανῶν λόγος τρίτος,Oratio III contra Arianos,Alexandria,,350 AD,M,K,1071.0,1071,,TRUE,FALSE,tlg2035,tlg132,False,TRUE,FALSE,
first1k_tlg0057.tlg016.1st1K-grc1,Galen,TRUE,Of the dissection of the uterus,Medica,Prose,Treaty,Medicine,,Περὶ μήτρας ἀνατομῆς ,De uteri dissectione,Rome,,180 AD,M,,1072.0,1072,,TRUE,FALSE,tlg0057,tlg016,False,TRUE,FALSE,
first1k_tlg0552.tlg007.1st1K-grc1,Archimedes,TRUE,Quadrature of the Parabula,Mathematica,Prose,Treaty,Mathematics,,Τετραγωνισμὸς παραβολῆς,Quadratura parabolae,Syracuse,,220 BC,M,K,1073.0,1073,,TRUE,FALSE,tlg0552,tlg007,False,TRUE,FALSE,
first1k_tlg2057.tlg002.1st1K-grc1,Socrates of Constantinople (Scholasticus),TRUE,Church History,"Ecclesiastica, Historica",Prose,Historiography ,,,Ἐκκλησιαστικής ἰστορίας,Historia ecclesiastica,Constantinople,,439 AD,M,,1074.0,1074,,TRUE,FALSE,tlg2057,tlg002,False,TRUE,TRUE,
first1k_tlg5034.tlg001a.perseus-grc1,Various (Scholia),FALSE,Scholia in Pindarum Olympian Odes,Scholia,Prose,Catena / Commentary,Scholia,,,Scholia in Pindarum,,,,M,,1075.0,1075,,TRUE,FALSE,tlg5034,tlg001,False,TRUE,TRUE,
first1k_tlg1801.tlg001.1st1K-grc1,Parodica Anonyma,FALSE,Incertorum fragmenta,Parodica,Prose,Treaty,Parody,,,Incertorum fragmenta,,,,M,,1076.0,1076,,TRUE,FALSE,tlg1801,tlg001,False,TRUE,FALSE,
first1k_tlg2042.tlg048.1st1K-grc1,Origen,,Selecta in Genesim,Exegetica,Prose,,Theology ,,Εἰς τὴν Γένεσιν ἐκλογαί,Selecta in Genesim,"Caesarea, Israel",,240 AD,M,F,1077.0,1077,,TRUE,FALSE,tlg2042,tlg048,False,TRUE,FALSE,
first1k_tlg0627.tlg005.1st1K-grc1,Hippocrates,FALSE,Regimen in Acute Diseases (Appendix),Medica,Prose,Treaty,Medicine,,Περὶ διαίτης ὀξέων νόθα,De diaeta acutorum ,Greece,,390 BC,M,K,1078.0,1078,,TRUE,FALSE,tlg0627,tlg005,False,TRUE,TRUE,
